finding,pubmed_id,finding_id
"The frequency of mers-cov cases and deaths in Saudi Arabia was inconsistent from June to December 2013, and a slight increase in the rate was observed in June and September.",PMC4149400,PMC4149400_0
"In April and May 2014, there was a sharp increase in the number of cases and deaths, with a case fatality rate of 24% and 25% in April and May, respectively.",PMC4149400,PMC4149400_1
"In Saudi Arabia, the highest number of mers-cov cases and deaths occurred in Riyadh (169 cases and 43 deaths), followed by Jeddah (156 cases and 36 deaths) and the Eastern Region (24 cases and 22 deaths).",PMC4149400,PMC4149400_2
"The highest case fatality rate was recorded in the Eastern Region (92%), followed by Medinah (36%) and Najran (33%).",PMC4149400,PMC4149400_3
"In areas with high mers-cov infection rates, such as Riyadh and Jeddah, the average temperature ranged from 15°C to 37°C in April and May 2014, and the lowest average relative humidity was recorded during this period, at 8% to 20% and 30% to 35%, respectively.",PMC4149400,PMC4149400_4
"The highest number of mers-cov cases and deaths occurred in men, with 89 deaths (74% of the total number of deaths) among males and 31 deaths (26% of the total number of deaths) among females.",PMC4149400,PMC4149400_5
The highest case fatality rate was observed among males (52%) and among those aged 45 to 59 years (55%).,PMC4149400,PMC4149400_6
The lowest case fatality rate was observed among males and females aged 30 to 44 years (8%).,PMC4149400,PMC4149400_7
The highest number of mers-cov cases and deaths occurred in men aged 45 to 59 years (39%) and ≥60 years (42%).,PMC4149400,PMC4149400_8
"The average monthly temperature in the Eastern Region ranged from 17°C to 37°C in April and May 2014, and the lowest average monthly relative humidity was recorded during this period, at 18% to 30%.",PMC4149400,PMC4149400_9
The,PMC4149400,PMC4149400_10
