finding,pubmed_id,finding_id
The National Library of Medicine (NLM) in the USA provides open-access resources on infection control through its MedlinePlus website (http://www.nlm.nih.gov/medlineplus/).,PMC2151856,PMC2151856_0
"The Faculty of Medicine, University Catholic of Louvain (Belgium) offers open-access resources on infection control through its MD website (http://www.uclouvain.be/md.html).",PMC2151856,PMC2151856_1
The Infection Control Today magazine (USA) provides resources on infection control through its website (http://www.infectioncontroltoday.com/).,PMC2151856,PMC2151856_2
"The Association for Professionals in Infection Control and Epidemiology (USA) offers resources on infection control through its website (http://www.apic.org/am/template.cfm""section=home).",PMC2151856,PMC2151856_3
The Royal College of Nursing (UK) provides resources on good practice in infection prevention and control through its website (http://www.rcn.org.uk/).,PMC2151856,PMC2151856_4
The American Dental Association (ADA) (USA) provides resources on infection control and postexposure protocols through its website (http://www.hivdent.org/).,PMC2151856,PMC2151856_5
The National University of Ireland (Ireland) provides resources on infection control through its website (http://www.nuigalway.ie/).,PMC2151856,PMC2151856_6
"The Communicable Diseases St. Joseph's Health Care (London, UK) provides resources on infection prevention and control through its website (http://www.sjhc.london.on.ca/).",PMC2151856,PMC2151856_7
"The Scottish Government, Scottish Executive (Scotland) provides resources on infection control standards for adult care homes through its website (http://www.health.scotland.gov.uk/).",PMC2151856,PMC2151856_8
"The Infection Control Service, University College, London Hospitals (UK) provides resources on infection control philosophy through its website (http://www.infectioncontrolservices.co.uk/).",PMC2151856,PMC2151856_9
The Gastroenterological Society of Australia (Australia) provides resources on infection control through its website (http://www.gesa.org.au/).,PMC2151856,PMC2151856_10
The Harbourview Medical Centre (USA) provides resources on infection control through its website (http://www.uwmedicine.org/facilities,PMC2151856,PMC2151856_11
